fen,cp
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,65.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p1N1/2B1P3/2NP4/PPP2PPP/R1BQK2R w KQ -,-52.0
r2qk1nr/ppp2ppp/2n5/3p4/1b1P2b1/2NB4/PPP1NPPP/R1BQK2R w KQkq -,33.0
rn1qkb1r/pp2ppp1/2p2n1p/3p4/3P1Bb1/3BPN2/PPP2PPP/RN1QK2R w KQkq -,71.0
rnb1k2r/1pq2ppp/p3pn2/3p4/1b1NP3/2NBBP2/PPPQ2PP/R3K2R b KQkq -,-400.0
8/4K1k1/4P3/8/8/8/r7/3R4 b - -,0.0
r2qk1nr/ppp2ppp/2n5/3p4/1b1P2b1/2NB1P2/PPP1N1PP/R1BQK2R b KQkq -,34.0
rnbqkb1r/p2p1ppp/4pn2/2pP4/2P5/8/P3PPPP/RNBQKBNR w KQkq -,0.0
rn1qkb1r/pp2ppp1/2p2n1p/3p4/3P1Bb1/3BPN2/PPPN1PPP/R2QK2R b KQkq -,40.0
rnbqkb1r/pppp1ppp/8/4p2Q/2B1n3/2N5/PPPP1PPP/R1B1K1NR b KQkq -,16.0
8/r2RK1k1/4P3/8/8/8/8/8 b - -,0.0
r7/3RK1k1/4P3/8/8/8/8/8 w - -,0.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/1PB1P3/5N2/P1PP1PPP/RNBQK2R b KQkq -,-48.0
r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2N1P3/PPQ2PPP/R3KBNR w KQkq -,-26.0
3R4/6k1/r3P3/4K3/8/8/8/8 b - -,0.0
rn2k2r/1pq2ppp/p4n2/4pP2/1b1p4/2NBBP2/PPPQ2PP/R3K2R w KQkq -,-753.0
r1bqk1nr/pppp1ppp/2n5/8/1b2P3/1QN2N2/PP3PPP/R1B1KB1R b KQkq -,-29.0
8/8/2P5/5k2/2RKq1p1/8/8/8 w - -,-899.0
r1bqkb1r/pp1npp1p/3p2p1/1B6/3NP1n1/2N1B3/PPP2PPP/R2QK2R w KQkq -,619.0
rn1qk2r/1p2bpp1/p2p4/3Ppb1p/8/1N2BP2/PPPQB1PP/R3K2R b KQkq -,23.0
6k1/6p1/8/4K3/4NN2/8/8/8 w - -,15.0
rnbqkb1r/pppp1ppp/5n2/3Pp3/2P5/8/PP2PPPP/RNBQKBNR b KQkq -,-25.0
8/8/2P5/5k2/2R1q1p1/2K5/8/8 b - -,-1864.0
r7/6k1/4P3/3RK3/8/8/8/8 w - -,0.0
r1b2rk1/pp1pppbp/1qn2np1/8/2BNP3/2N1BP2/PPP3PP/R2QK2R w KQ -,-15.0
3K4/3P2k1/8/8/5R2/8/8/2r5 w - -,16.0
r1bq2nr/pppp1kpp/8/2b4Q/3pP3/8/PPPP1PPP/RNB2RK1 b - -,382.0
r7/3R2k1/4P3/4K3/8/8/8/8 b - -,0.0
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,0.0
r3r1k1/1b2qppp/p7/1p1Pb3/1P6/P2B4/1B2Q1PP/3R1RK1 w - -,465.0
3q3k/pp2b1pp/8/2P5/1P2RBQ1/2P5/P4rPp/7K w - -,17.0
r1bqk1nr/pppp1ppp/2n5/8/4P3/2Q2N2/PP3PPP/R1B1KB1R b KQkq -,-23.0
5k2/6p1/8/4K1N1/5N2/8/8/8 w - -,19.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p1N1/2B1P3/2NP3P/PPP2PP1/R1BQK2R b KQ -,-40.0
r1b2rk1/pp1pppbp/1qn2np1/8/3NP3/1BN1BP2/PPP3PP/R2QK2R b KQ -,-12.0
8/5kpN/8/4K3/5N2/8/8/8 w - -,9605.0
rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/1P6/P3PPPP/RNBQKBNR w KQkq -,0.0
r1b2rk1/pp1pppbp/1qn3p1/8/3Nn3/1BN1BP2/PPP3PP/R2QK2R w KQ -,-13.0
r1b2r2/pp2npkp/3p1pp1/q2P4/3QPP2/8/PP2B1PP/R1B2R1K w - -,631.0
8/1Q1rkpp1/p3p3/3nB1r1/8/3q3P/PP3R2/K1R5 w - -,804.0
r1b1kbnr/pppp1ppp/5q2/8/2BpP3/8/PPPP1PPP/RNBQ1RK1 w kq -,171.0
rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,92.0
r1bqkb1r/pp3ppp/2n2n2/1B2p1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -,66.0
r1bq1rk1/ppp2ppp/2np4/2b1p1N1/2B1P1n1/2NP4/PPP2PPP/R1BQ1RK1 w - -,39.0
8/3PK1k1/8/8/5R2/8/8/2r5 b - -,15.0
rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,80.0
r1bqkb1r/pppn2pp/4p3/nB1Pp3/8/8/PPPP1PPP/RNBQK2R w KQkq -,140.0
r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq -,31.0
r1bqk1nr/pppp1ppp/1bn5/4p3/1PB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq -,32.0
r1b1kbnr/pppp1ppp/5q2/8/2BpP3/3P4/PPP2PPP/RNBQ1RK1 b kq -,204.0
r1b2rk1/pp1pppbp/2n3p1/q2N4/3Nn3/1B2BP2/PPP3PP/R2QK2R w KQ -,-11.0
rn1qkb1r/pp1bpp1p/3p2p1/1B6/3NP1n1/2N1B3/PPP2PPP/R2QK2R w KQkq -,615.0
r1bqkbnr/pp1n1ppp/2p1p3/3p4/3PPB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,93.0
8/3PK1k1/8/8/5R2/8/8/4r3 w - -,15.0
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/5N1P/PPPP1PP1/RNBQ1RK1 b kq -,-5.0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,23.0
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPP1P/RN1QKB1R w KQkq -,18.0
rn1qkb1r/pp1bpp1p/3p2p1/1B6/3NP1Q1/2N1B3/PPP2PPP/R3K2R b KQkq -,776.0
8/3P2k1/3K4/8/5R2/8/8/4r3 b - -,14.0
r1b1kb1r/ppppnppp/5q2/8/2BpP3/3P4/PPP2PPP/RNBQ1RK1 w kq -,183.0
r2qkb1r/pppb1ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -,70.0
r1bqkb1r/pppp1ppp/2n2n2/1B6/3pP3/5N2/PPP2PPP/RNBQK2R w KQkq -,-1.0
8/3P2k1/8/3K4/3R4/8/8/3r4 b - -,8.0
rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPP1PP/RNBQKBNR w KQkq -,-84.0
r2qkbnr/ppp1pppp/2n5/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R b KQkq -,37.0
8/3P2k1/8/3K4/3r4/8/8/8 w - -,8.0
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,21.0
3r3k/1p1b1Qbp/1n2B1p1/p5N1/Pq6/8/1P4PP/R6K w - -,2.0
r2qkb1r/pppb1ppp/5n2/nB1Pp1N1/8/8/PPPPQPPP/RNB1K2R b KQkq -,23.0
3Q4/8/5k2/8/3K4/8/8/8 b - -,6.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/2BPP3/2P2N2/P4PPP/RNBQK2R b KQkq -,0.0
r2qk1nr/ppp3pp/2np4/2b1pb2/2B5/2P2N1P/PP1P1PP1/RNBQ1RK1 b kq -,9.0
r2qk1nr/ppp2ppp/2nbp3/3p4/3P1Bb1/3BPN2/PPP2PPP/RN1QK2R w KQkq -,32.0
r1bqkb1r/pppp1ppp/2n2n2/1B2P3/3p4/5N2/PPP2PPP/RNBQK2R b KQkq -,-23.0
8/3P2k1/4K3/8/5R2/8/8/4r3 w - -,10.0
r1b2rk1/pp1pppbp/2n3p1/q2N4/3Nn3/1BP1BP2/PP4PP/R2QK2R b KQ -,-10.0
8/3P2k1/8/3K4/5R2/8/8/3r4 w - -,9.0
rnbqk1nr/ppp1bppp/3p4/8/3NPB2/8/PPP2PPP/RN1QKB1R b KQkq -,87.0
r1bq1r2/pppn1pkp/3p1np1/4p3/3PP3/2N5/PPPQ1PPP/2KR1BNR w - -,133.0
8/3P2k1/8/3K4/5R2/8/8/4r3 b - -,9.0
r1bqkbnr/pppp1ppp/2n5/4p3/8/1P6/PBPPPPPP/RN1QKBNR w KQkq -,0.0
2r1r1k1/5ppp/8/8/Q7/8/5PPP/4R1K1 w - -,2.0
rnbq1rk1/pppp1ppp/4pn2/6B1/1bPP4/2N5/PPQ1PPPP/R3KBNR b KQ -,-16.0
r1b2rk1/pp1pppbp/2N2np1/q2N4/8/1BP1BP2/PP4PP/R2QK2R b KQ -,0.0
rnbqkbnr/pp1p1ppp/2p5/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,61.0
8/1Q1r1kp1/p3p3/3nB1r1/8/3q3P/PP6/K1R5 w - -,875.0
r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/2P2N2/P4PPP/RNBQ1RK1 b kq -,-36.0
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/1P6/PB1PPPPP/RN1QKBNR b KQkq -,-9.0
r1b2rk1/pp1pppbp/2n2np1/q2N4/3N4/1BP1BP2/PP4PP/R2QK2R w KQ -,0.0
8/3Q2p1/p3p1k1/3nB1r1/8/3q3P/PP6/K1R5 w - -,812.0
1r3b1r/1p1k1ppp/4p3/q2pP1B1/p2Q4/P2B4/1P3PPP/2R3K1 w - -,10.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/1P6/PB1PPPPP/RN1QKBNR w KQkq -,24.0
rnb1k1nr/pp1p1ppp/4p3/1Nb5/4P3/2N1B3/PqP2PPP/R2QKB1R b KQkq -,412.0
rnbqkbnr/pp1p1ppp/4p3/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,0.0
8/3PK3/6k1/8/5R2/8/4r3/8 w - -,16.0
4rk2/ppp2Pp1/2np3p/2b5/2B2Bnq/2N5/PP4PP/5R1K w - -,-616.0
8/8/2P5/5k2/2RK2p1/5q2/8/8 b - -,-5921.0
8/2K5/4P1k1/8/8/8/1r6/R7 w - -,5153.0
r1b2rk1/pp2Npbp/2p2np1/q7/8/1BP1BP2/PP4PP/R2QK2R b KQ -,-8.0
r1bqkb1r/pppp1ppp/2n5/1B2P3/3pn3/5N2/PPP2PPP/RNBQ1RK1 b kq -,-9.0
r1bqkb1r/ppp2ppp/2n5/3np3/8/1P2P3/PB1P1PPP/RN1QKBNR w KQkq -,0.0
rnbqkbnr/pp3ppp/4p3/2pp4/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,17.0
8/3P4/3K2k1/8/5R2/8/4r3/8 b - -,16.0
3r2k1/pb1r1pp1/1pn2q1p/3B4/6Q1/P4NP1/1P3PP1/3RR1K1 w - -,1409.0
8/3P4/3K2k1/8/5R2/8/r7/8 w - -,15.0
r1bqk1nr/pppp1ppp/2n5/2b5/2B1P3/2p2N2/P4PPP/RNBQ1RK1 w kq -,128.0
6k1/3qb1pp/4p3/ppp1P3/8/2PP1Q2/PP4PP/5RK1 w - -,3.0
8/3P4/6k1/r3K3/5R2/8/8/8 w - -,17.0
4k3/7R/8/4PK2/8/8/8/3r4 w - -,2430.0
rnbq1rk1/ppp1bppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,31.0
r1bq1rk1/pppp1ppp/2n2n2/2b1p1N1/2B1P3/2NP4/PPP2PPP/R1BQK2R b KQ -,-29.0
r1bqkb1r/1ppp1ppp/p1B5/4P3/3pn3/5N2/PPP2PPP/RNBQ1RK1 b kq -,-12.0
2br2k1/5pp1/1p3q1p/2pBpP2/Q1P1P3/P6P/6P1/5RK1 b - -,141.0
r1bqkb1r/pp1p1ppp/2n2n2/1N2p3/4PB2/8/PPP2PPP/RN1QKB1R w KQkq -,57.0
rnbqkbnr/pp3ppp/2p1p3/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,55.0
r1bqkb1r/1pp2ppp/p1p5/4P3/3pn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,-25.0
r1bqk1nr/pppp1Bpp/2n5/2b5/4P3/2p2N2/P4PPP/RNBQ1RK1 b kq -,122.0
rnbqkbnr/ppp2ppp/3p4/4P3/5B2/8/PPP1PPPP/RN1QKBNR b KQkq -,106.0
2r2r1k/pp3pbp/2p2np1/q7/8/1BP1BP2/PP4PP/R2QK2R w KQ -,-15.0
rnbqkb1r/pppp1ppp/3n4/4p2Q/2B5/2N5/PPPP1PPP/R1B1K1NR w KQkq -,18.0
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,108.0
7k/3qbQpp/4p3/ppp1P3/8/2PP4/PP4PP/5RK1 w - -,2.0
r1bqkb1r/pp1p1ppp/2n2n2/1N2p1B1/4P3/8/PPP2PPP/RN1QKB1R b KQkq -,35.0
rnbqkbnr/pp1p1ppp/2p5/4p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq -,67.0
r1bqkb1r/pp1p1ppp/2n1pn2/1N6/4PB2/8/PPP2PPP/RN1QKB1R b KQkq -,37.0
r1bq2nr/pppp1kpp/2n5/2b5/4P3/2p2N2/P4PPP/RNBQ1RK1 w - -,91.0
r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq -,0.0
4rk2/ppp3p1/2np3p/2b3B1/2B4q/2N5/PP3nPP/4RR1K w - -,-11.0
8/3PK1k1/8/8/8/8/2r5/5R2 b - -,20.0
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w - -,62.0
r1bq2nr/pppp1kpp/2n5/2bQ4/4P3/2p2N2/P4PPP/RNB2RK1 b - -,87.0
r1bqkbnr/ppp2ppp/2n5/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq -,-11.0
2r2r1k/pp3pbp/2p2np1/q7/8/1BP1BP2/PP4PP/R2Q1RK1 b - -,0.0
rnbqkbnr/pp3ppp/4p3/1Bpp4/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,0.0
r1bqkbnr/pp1p1ppp/2n1p3/1N6/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,32.0
8/1q3k2/p3p3/2P3Qp/P3P2P/2P5/4r1PK/8 w - -,1275.0
3r2k1/Q2b1pp1/1p3q1p/2pBpP2/2P1P3/P6P/6P1/5RK1 b - -,291.0
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ -,69.0
3rb1k1/Q4pp1/1p3q1p/2pBpP2/2P1P3/P6P/6P1/5RK1 w - -,301.0
rnbqk2r/pppp1ppp/5n2/2bPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,0.0
3rb1k1/Q4pp1/1p3q1p/2pBpP2/2P1P3/P6P/6P1/1R4K1 b - -,315.0
rnbqkb1r/ppp1pppp/5n2/6N1/4p3/8/PPPP1PPP/RNBQKB1R w KQkq -,-49.0
r1bqk1nr/ppp2ppp/2np4/2b1p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R b KQkq -,12.0
r1bqk1nr/ppp2ppp/2nb4/1B1pp3/5P2/1P2P3/PBPP2PP/RN1QK1NR b KQkq -,0.0
1r2r1k1/p1p1qppp/Q2b1n2/1b1p4/P2P4/2P5/1P2BPPP/R1B1KN1R w KQ -,-694.0
r1bqkbnr/pp3ppp/2np4/4p3/2B1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,99.0
4b1k1/Q4pp1/1p1r1q1p/2pBpP2/2P1P3/P6P/6P1/1R4K1 w - -,282.0
rnbqkbnr/pp3ppp/8/2pp4/2B5/5N2/PPPP1PPP/RNBQK2R w KQkq -,18.0
rnbqkb1r/ppp1pppp/5n2/6N1/2B1p3/8/PPPP1PPP/RNBQK2R b KQkq -,-48.0
8/3pp2p/8/1kPP4/5P2/8/1K6/8 w - -,19.0
5r1b/2R1R3/P4r2/2p2Nkp/2b3pN/6P1/4PP2/6K1 w - -,3.0
6k1/2q5/p3p3/2P5/P3P2P/2P5/4Q1PK/8 w - -,1184.0
r1b1k1nr/ppp1qppp/2nb4/1B1pp3/5P2/1P2P1P1/PBPP3P/RN1QK1NR w KQkq -,0.0
rnbqkb1r/ppp2ppp/4pn2/6N1/2B1p3/2N5/PPPP1PPP/R1BQK2R b KQkq -,-46.0
3Q4/8/3K2k1/8/5R2/8/3r4/8 w - -,15.0
r1bq1rk1/ppp1ppbp/2np1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,50.0
4b1k1/Q4pp1/1p1r1q1p/2pBpP2/P1P1P3/7P/6P1/1R4K1 b - -,277.0
rnbqkbnr/pp3ppp/8/1Bpp4/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,13.0
rnbq1rk1/ppp2ppp/3p1n2/4p1B1/2B1P3/2P2N2/PPP2PPP/R2QK2R w KQ -,24.0
r1bq1rk1/ppp1ppbp/2np1np1/3P4/2P5/5NP1/PP2PPBP/RNBQ1RK1 b - -,55.0
r1bqk1nr/ppp3pp/2np1p2/2b1p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQkq -,578.0
rnbqk2r/ppp1bppp/3p4/8/2B1n3/5N2/PPPP1PPP/RNBQK2R w KQkq -,16.0
4b3/Q4ppk/1p1r1q1p/P1pBpP2/2P1P3/7P/6P1/1R4K1 b - -,284.0
3K4/8/8/6k1/5R2/8/8/8 w - -,12.0
3Q4/8/3K2k1/8/5R2/8/r7/8 b - -,15.0
rnbqkbnr/ppp2ppp/4p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,-7.0
rnbqkbnr/pp2pppp/3p4/8/3PP3/B7/2P2PPP/RN1QKBNR b KQkq -,-69.0
r1bqkb1r/1p3ppp/p1np1n2/1N2p3/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,0.0
r1b1k1nr/ppp1q1pp/2nb1p2/1B1pp3/5P2/1P2PNP1/PBPP3P/RN1QK2R w KQkq -,0.0
r1bq1rk1/ppp1ppbp/3p1np1/n2P4/2P5/5NP1/PP2PPBP/RNBQ1RK1 w - -,45.0
4b3/Q4ppk/1p1r1q1p/2pBpP2/P1P1P3/7P/6P1/1R4K1 w - -,318.0
rnbq1rk1/ppp1bppp/3p4/8/2B1n3/3P1N2/PPP2PPP/RNBQ1RK1 b - -,0.0
r1bqk2r/ppppbppp/2n5/1B2P3/3pn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,40.0
rnbqkbnr/pp1ppppp/8/8/4P3/B7/2PP1PPP/RN1QKBNR b KQkq -,-98.0
r1bqkb1r/pppp1ppp/2n5/1B6/3pn3/5N2/PPP2PPP/RNBQR1K1 b kq -,70.0
rnbq1rk1/ppp1bppp/4pn2/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 b - -,32.0
rnbqkbnr/pp1ppppp/8/2p5/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq -,-46.0
rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N3P1/PPP2P1P/R1BQKB1R b KQkq -,0.0
r1bq1knr/ppp3pp/2np4/8/4P3/2Q2N2/P4PPP/RNB2RK1 b - -,150.0
rnbqkb1r/ppp2ppp/4pn2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -,-47.0
2b1Q3/1kp5/p1Nb4/3P4/1P5p/p6P/K3R1P1/5q2 w - -,3.0
rnbqkbnr/pp1p1ppp/4p3/2p5/1P2P3/8/P1PP1PPP/RNBQKBNR w KQkq -,64.0
r2q2k1/pQ2bppp/4p3/8/3r1B2/6P1/P3PP1P/1R3RK1 w - -,491.0
rnbqkbnr/1pp2ppp/p3p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,0.0
r1b1kb1r/1pqp1pp1/p1n1pn2/7p/3NP3/2NBB3/PPP2PPP/R2Q1RK1 w kq -,69.0
r1bqk2r/ppppbppp/2n5/1B2P3/3pn3/5N2/PPP2PPP/RNBQR1K1 b kq -,33.0
r1bqkbnr/p4ppp/2p5/2pp4/8/5N2/PPPP1PPP/RNBQK2R w KQkq -,-20.0
r1bqk2r/ppppbppp/2n5/1Bn1P3/3p4/5N2/PPP2PPP/RNBQR1K1 w kq -,31.0
4b3/Q4ppk/3r1q1p/p1pBpP2/2P1P3/7P/6P1/1R4K1 w - -,327.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,18.0
rnbqkbnr/pp2pp1p/3p2p1/8/3PP3/B1P5/5PPP/RN1QKBNR b KQkq -,-41.0
rnbqkbnr/pp2pp1p/3p2p1/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,74.0
1r1q2k1/pQ2bppp/4p3/8/3r4/6P1/P3PP1P/1R3RK1 w - -,682.0
4b3/5ppk/3r1q1p/Q1pBpP2/2P1P3/7P/6P1/1R4K1 b - -,122.0
rnbqkb1r/p1p2ppp/1p2pn2/6N1/2B1p3/2N5/PPPP1PPP/R1BQK2R w KQkq -,-44.0
rn1qkbnr/pp1bpp1p/3p2p1/1B6/3NP3/8/PPP2PPP/RNBQK2R w KQkq -,34.0
1Q1q2k1/p3bppp/4p3/8/3r4/6P1/P3PP1P/1R3RK1 b - -,442.0
2k5/2p5/p1Nb4/3P4/1P5p/p6P/K3R1P1/5q2 w - -,2.0
r1bqkbnr/p4ppp/2p5/2pp4/3P4/5N2/PPP2PPP/RNBQK2R b KQkq -,-40.0
rnb1k1nr/pp1p1ppp/4p3/1N6/1b2P3/2N1B3/PqP2PPP/R2QKB1R w KQkq -,740.0
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP3/1BN1BP2/PPPQ2PP/2KR3R w - -,110.0
2rqr1k1/pp1Q1pbp/2n3p1/8/4P3/4BP2/PP2B1PP/2RR2K1 b - -,-219.0
rn1qkb1r/pbp2ppp/1p2pn2/6N1/2B1p3/2N5/PPPP1PPP/R1BQ1RK1 w kq -,-42.0
r1bqkb1r/ppp2ppp/2n5/1B1p4/3Nn3/8/PPP2PPP/RNBQR1K1 b kq -,233.0
rnbqkb1r/pppppp1p/5np1/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,13.0
rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,60.0
rnbqkb1r/p2p1ppp/4pn2/1PpP4/8/1P6/P3PPPP/RNBQKBNR b KQkq -,-62.0
rnbq1rk1/pppn1ppp/4p3/3pP3/1b1P4/2NB1N2/PPP2PPP/R1BQK2R w KQq -,708.0
rnbqkbnr/pp2pp1p/3p2p1/1B6/3NP3/8/PPP2PPP/RNBQK2R b KQkq -,17.0
2rQr1k1/pp3p1p/6p1/8/3nP3/4BP2/PP2B1PP/2R3K1 b - -,-222.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,18.0
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -,41.0
rnbqkbnr/pp1p1ppp/4p3/2P5/4P3/8/P1PP1PPP/RNBQKBNR b KQkq -,38.0
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq -,-43.0
r1bq1rk1/ppp1ppbp/2np1np1/8/3PPB2/2N5/PPPQ1PPP/2KR1BNR w - -,125.0
rnbqkb1r/pppp1ppp/3n4/4Q3/2B5/2N5/PPPP1PPP/R1B1K1NR b KQkq -,25.0
rnbq1rk1/ppppppbp/5np1/8/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQ -,0.0
rnbqkb1r/pppp1ppp/2N2n2/8/8/8/PPPPQPPP/RNB1KB1R b KQkq -,838.0
2rQr1k1/pp3p1p/6p1/8/4P3/4BP2/PP2nKPP/2R5 b - -,-334.0
rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq -,18.0
rnbq1rk1/pp2ppbp/6p1/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w - -,13.0
rnbqkbnr/ppp1pppp/8/8/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,-95.0
rnbqkbnr/pp1ppppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq -,-17.0
rnbqk2r/pp1p1ppp/3b1n2/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq -,93.0
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP2P/1BN1BP2/PPPQ2P1/2KR3R b - -,0.0
rnbq1rk1/pppn1ppB/4p3/3pP3/1b1P4/2N2N2/PPP2PPP/R1BQK2R b KQq -,671.0
1rb2rk1/ppq2ppp/4pn2/2p5/2PP4/5N2/PPBRQPPP/3R2K1 w - -,268.0
3rr1k1/pp3p1p/6p1/8/4P3/4BP2/PP2K1PP/2R5 b - -,-162.0
5r1k/1b2Nppp/8/2R5/4Q3/8/5PPP/6K1 w - -,2.0
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQ -,15.0
r1bqkbnr/p4ppp/2p1p3/2pP4/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,-55.0
3r1bnr/1p2pkpp/3p4/1p6/4P3/8/PPP2PPP/RNBK3R b - -,162.0
3rr1k1/pp3p1p/6p1/8/4P3/4BP2/PP2nKPP/2R5 w - -,-228.0
4k3/R4br1/4P3/p7/4N3/5K2/8/8 b - -,-5724.0
rnbqkbnr/ppp1pp1p/6p1/4N3/4p3/8/PPPP1PPP/RNBQKB1R w KQkq -,-90.0
2rq1rk1/pp1bppbp/3p1np1/8/2nNP2P/1BN1BP2/PPPQ2P1/2KR3R w - -,109.0
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,71.0
rnbqkb1r/3p2pp/p3pn2/1Pp5/8/1P6/P3PPPP/RNBQKBNR w KQkq -,-5.0
rnbqk2r/ppp2ppp/3p1n2/2bPp3/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,-39.0
rnbq1r2/pppn1ppk/4p3/3pP3/1b1P4/2N2N2/PPP2PPP/R1BQK2R w KQ -,712.0
2rr2k1/pp3p1p/6p1/8/4P3/4BP2/PP2K1PP/2R5 b - -,-337.0
rnbqk1nr/pp1p1ppp/1b2p3/8/3PP3/8/P1P2PPP/RNBQKBNR w KQkq -,60.0
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -,17.0
4k3/R4br1/3N4/p3P3/8/5K2/8/8 b - -,28.0
rnbqkb1r/ppp2ppp/3p1n2/8/8/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,13.0
rnbqk1nr/pp1p1ppp/1b2p3/8/3PP3/5N2/P1P2PPP/RNBQKB1R b KQkq -,63.0
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/P1N5/1PP2PPP/R1BQKB1R w KQkq -,40.0
rnbqkbnr/pp1ppppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq -,-21.0
